Ugent ID,address,city,country,lat_2,long_2
8.01002E+11,Krijgsgasthuisstraat 8,Gent,Belgium,51.0511783,3.7041153
8.01002E+11,Sportstraat 185,Gent,Belgium,51.0413929,3.7062116
8.01002E+11,Ellevestraat 21,Dikkelvenne,Belgium,50.9197007,3.726182
8.01002E+11,Turkooispad 20,Gent,Belgium,51.018608,3.7109039
8.01002E+11,Sneppestraat 23,Elsegem,Belgium,50.8264233,3.5321834
8.01002E+11,Ottergemsesteenweg 347,Gent,Belgium,51.0282175,3.7326274
8.01002E+11,Weerstandstraat 16,Evere,Belgium,50.8696802,4.396547
8.02E+11,Waesbergdries 14,Lierde,Belgium,50.8314246,3.8512554
8.02E+11,Begonialaan 29,Nazareth-De Pinte,Belgium,50.9961242,3.6534051
8.02E+11,Comminnestraat 8,Moen,Belgium,50.7922276,3.3579922
8.02E+11,Reinaertstraat 113,Gent,Belgium,51.0587719,3.7009334
8.02E+11,Kerkstraat 217,Gentbrugge,Belgium,51.0438101,3.7484741
8.02E+11,Nerenbroekstraat 77,Erpe,Belgium,50.9443414,3.9756828
8.02E+11,Langerbrugsestraat 56,Evergem,Belgium,51.1108567,3.7151787
8.02E+11,Molenbeekweg 4,Massemen,Belgium,50.9902193,3.8778076
8.02E+11,Kattebroeckstraat 39,Overmere,Belgium,51.0546826,3.9505458
8.02E+11,Molenstraat 90,Torhout,Belgium,51.06335,3.085754
8.02E+11,Guido Gezellelaan 17,Nazareth-De Pinte,Belgium,50.9957925,3.6618942
8.02E+11,Ralingen 58,Evergem,Belgium,51.1075963,3.6946287
8.02E+11,Opaaigem 28,Aaigem,Belgium,50.8929607,3.9359536
8.02E+11,Ten Broucken 7,Kanegem,Belgium,51.0115446,3.4037809
8.02001E+11,Opvoedingstraat 26,Gent,Belgium,51.0287218,3.7231376
8.02001E+11,Notelaarstraat 15,Merelbeke-Melle,Belgium,50.9839886,3.727919
8.02001E+11,Dendermondesteenweg 417,Destelbergen,Belgium,51.0559921,3.794902
8.02001E+11,Braemstraat 70,Gentbrugge,Belgium,51.0347596,3.7644124
8.02001E+11,Kerkbaan 28,Wichelen,Belgium,51.0050812,3.9743116
8.02001E+11,Begijnenweide 51,Oosterzele,Belgium,50.9368398,3.76931
8.02001E+11,Lange Violettestraat 167,Gent,Belgium,51.0468853,3.7352093
8.02001E+11,Sint-Blasiusstraat 3,Waardamme,Belgium,51.1115235,3.2219384
8.02001E+11,Albertlaan 177,Vorst,Belgium,50.817777,4.345828
8.02001E+11,Rabotwegel 6,Evergem,Belgium,51.0921048,3.6580358
8.02001E+11,Sluiskouter 40,Deinze,Belgium,50.9703843,3.5216142
8.02001E+11,Potaardeberg 63,Merelbeke-Melle,Belgium,50.9916894,3.7393387
8.02001E+11,Boelarestraat 18,Geraardsbergen,Belgium,50.7741496,3.8823453
8.02002E+11,Rijsenbergstraat 36,Gent,Belgium,51.0399148,3.7058981
